-8.81961154938,-12.6958351135,7.0,0
-35.961894989,-106.317886353,7.0,0
-51.9622802734,-162.081161499,7.0,0
-69.3390960693,-185.521728516,7.0,0
-65.5181503296,-85.1080932617,7.0,0
13.42212677,-125.971672058,7.0,0
-5.67315292358,-150.647644043,7.0,0
-34.9569244385,-130.077041626,7.0,0
-20.5131721497,-81.8094329834,7.0,0
-27.1250534058,-77.5918807983,7.0,1
-57.0742530823,-178.516891479,7.0,1
-90.4773254395,-179.187667847,7.0,1
-76.9614334106,-95.7532806396,7.0,1
-43.287147522,-91.4298477173,7.0,1
8.85586547852,-108.146492004,7.0,1
7.23949050903,-145.970550537,7.0,1
-26.0864715576,-145.006271362,7.0,1
-28.5379981995,-109.106788635,7.0,1
-16.4762439728,-100.559715271,7.0,2
-97.9701690674,-164.111129761,7.0,3
-84.2235794067,-118.639541626,7.0,3
-41.9370346069,-126.823616028,7.0,5
-92.8083496094,-146.502624512,7.0,5
